Question	Answer
Is your organisation ISO27001:2013 certified?	"Yes, our organization used to certified with ISO/IEC 27001:2013. Now we are certified to the latest version i.e. ISO 27001:2022."
Is your organisation aligned with the NIST Cybersecurity Framework?	"Yes, our organization is aligned with the NIST Cybersecurity Framework"
Does your organisation transfer any personal data out of the European Economic Area?	"Yes, our organization does transfer personal data outside of the European Economic Area (EEA).
All such transfers are conducted in compliance with applicable data protection laws, including the EU General Data Protection Regulation (GDPR)."
Does your organisation have a nominated Data Protection Officer (DPO)?	"Yes, we have a nominated Data Protection Officer (DPO). The current DPO is Michael Campos"
Does your organisation have an up-to-date Data Protection Policy?	"Yes, our organization has an up-to-date Data Protection Policy that outlines our commitment to the lawful, fair, and transparent processing of personal data in accordance with applicable data protection laws."
Does your organisation maintain a breach log that records details of all personal data breaches?	"Yes, we do have a provision for breach log maintenance that will record details of all personal data breaches. This is not applicable right now as no any personal data breach happened."
Does your organisation have a process for notifying the relevant Supervisory Authority  and all relevant parties when a breach occurs?	"Yes, we have a process for notifying our customers about suspected or actual data breaches and assisting them in meeting breach notification obligations under applicable data protection laws. Netradyne follows a structured breach response process and based on contractual and regulatory requirements, Netradyne assists customers in breach response."
Does your organisation conduct Data Protection Impact Assessments as part of its risk assessment processes?	"Yes, we conduct Data Protection Impact Assessments (DPIAs) as part of our risk assessment processes. DPIAs are conducted whenever a new feature is being developed or any significant change is made to the business, operating or technical environment that is likely to pose a risk to the rights of the data subjects. "
Does your organisation maintain a record of all personal data collection & processing activities?	"Yes, we maintain a record of all personal data collection and processing activities (RoPA)"
Has your organisation defined and documented the lawful basis of each instance of personal data collection or processing?	"As controllers, Netradyne's customers are expected to formalize documentations outlining lawful basis of processing. Typically, this is covered under the DPIA and our DPIA template presents practical options to the customers for deciding on their lawful basis of processing keeping in mind the business purpose(s) of processing, the rights of the data subjects and regulatory obligations."
Can your organisation facilitate an individual's data privacy rights as defined under GDPR?	"Yes, we have a structured process for assisting our customers in responding to data subject requests (DSARs). These are typically also defined in the contractual agreement (DPAs) with the customer. Basically, we would act on the instructions of the customer and not unilaterally respond to data subject requests."
Has your organisation suffered a security incident that led to a Personal Data breach in the last 12 months?	No
Does your organisation have a Records Retention Policy?	"Yes, We do have retention policy. Data retention is also contractually agreed with the customer."
"Does your organisation have an appointed person responsible for information security, such as a CISO?"	"Yes, our organization has an appointed person responsible for information security. The Chief Information Security Officer (CISO) is Saravanan Sankaran"
